medium;description;compound;bigg_id;formula;exchange_flux
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Fe3+;fe3;Fe;0.162727191333154
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Folate;fol;C19H17N7O6;0.000297620061332
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;D-Glucose;glc__D;C6H12O6;112.061303570963
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Glutamate;glu__L;C5H8NO4;85.2144759182953
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Glycine;gly;C2H5NO2;36.4512979141189
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;H2O;h2o;H2O;204712.055543961
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Histidine;his__L;C6H9N3O2;9.22412226256907
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Isoleucine;ile__L;C6H13NO2;19.6492187029485
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;K+;k;K;107.077417688237
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Leucine;leu__L;C6H13NO2;32.4116490525101
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Lysine;lys__L;C6H15N2O2;19.6651052511796
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Methionine;met__L;C5H11NO2S;4.98705526994269
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Mg;mg2;Mg;26.0641843242131
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Mn2+;mn2;Mn;0.20887164805373
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Na+;na1;Na;113.96678096632
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Isonicotinic acid;nac;C6H4NO2;0.264656863347297
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Phenylalanine;phe__L;C9H11NO2;17.1645102491629
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Phosphate;pi;HO4P;11.3546879379199
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;PAN;pnto__R;C9H15NO5;0.0350323287219272
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Proline;pro__L;C5H9NO2;33.5136214990815
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Pyridoxal;pydx;C8H9NO3;0.0059223986312678
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Riboflavin;ribflv;C17H19N4O6;0.0053140059394644
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Serine;ser__L;C3H7NO3;30.3094604187164
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Thiamin;thm;C12H17N4OS;10.3634909664276
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Threonine;thr__L;C4H9NO3;17.5974989758158
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Tryptophan;trp__L;C11H12N2O2;3.10316748373854
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Tyrosine;tyr__L;C9H11NO3;10.3666071522199
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Valine;val__L;C5H11NO2;26.4115042472532
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Zn2+;zn2;Zn;0.116396451514225
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Beta-Carotene;caro;C40H56;0.0150221858966168
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;All-trans-Retinol;retinol;C20H30O;1.25675681336742
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Nicotinamide;ncam;C6H6N2O;0.117298234753686
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Pyridoxamine;pydam;C8H13N2O2;0.0058510292492361
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Pyridoxine;pydxn;C8H11NO3;0.005851831623298
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Biotin;btn;C10H15N2O3S;0.0004779437301764
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;10-Formyltetrahydrofolate;10fthf;C20H21N7O7;0.0002780276710914
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;5-Methyltetrahydrofolate;5mthf;C20H24N7O6;0.0002858967180349
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;5,6,7,8-Tetrahydrofolate;thf;C19H21N7O6;0.0002955904795819
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Ascorbate;ascb__L;C6H7O6;1.59925238213255
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Calciol (Vitamin D3);vitd3;C27H44O;2.2098717832e-06
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Alpha-Tocopherol;avite1;C29H50O2;0.051694183110014
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;D-Mannitol;mnl;C6H14O6;5.3575800425752
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Xylitol;xylt;C5H12O5;0.254361277143372
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Lactose;lcts;C12H22O11;0.102542678642639
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Maltose;malt;C12H22O11;0.555074328834797
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Sucrose;sucr;C12H22O11;216.946419259326
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;D-Fructose;fru;C6H12O6;143.715248848359
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;D-Galactose;gal;C6H12O6;0.0133217951785093
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Urate;urate;C5H4N4O3;2.79248207873045
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Decanoate (n-C10:0);dca;C10H19O2;2.28037793557858
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Dodecanoate (n-C12:0);ddca;C12H23O2;15.1433597344436
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Tetradecanoate (n-C14:0);ttdca;C14H27O2;5.91364909857804
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Tetradecenoate (n-C14:1);ttdcea;C14H25O2;0.0296875353621147
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Pentadecanoate;ptdca;C15H30O2;0.0345499557561718
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Hexadecanoate (n-C16:0);hdca;C16H31O2;32.8675443717135
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Heptadecanoate C170 ;hpdca;C17H33O2;0.133739010186581
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Octadecanoate (n-C18:0);ocdca;C18H35O2;7.75754199837513
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Octadecenoate (n-C18:1);ocdcea;C18H33O2;123.542280889128
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Linoleic acid (all cis C18:2) n-6;lnlc;C18H31O2;69.8009393871617
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Alpha-Linolenic acid, C18:3, n-3;lnlnca;C18H29O2;6.23599379572687
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Arachidic acid;arach;C20H39O2;1.25348891332087
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;11-cis-eicosenoate;CE2510;C20H37O2;1.13771402613062
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Cis,cis-11,14-eicosadienoyl-CoA;CE4843;C41H66N7O17P3S;0.0036423865827486
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Arachidonic acid;arachd;C20H31O2;0.0062611444251593
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Docosanoate;docosac;C22H43O2;1.26088270181957
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;3(Z)-13-docosenoic acid;doco13ac;C22H41O2;0.26183516574994
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Butyrate (n-C4:0);but;C4H7O2;0.177388021658561
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Octanoate (n-C8:0);octa;C8H15O2;3.67477051887698
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Chsterol c;chsterol;C27H46O;0.0036725388493832
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;D-Sorbitol;sbt__D;C6H14O6;3.93310051281263
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Lignoceric acid;lgnc;C24H47O2;0.441749939068974
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Hexadecenoate (n-C16:1);hdcea;C16H29O2;2.07428720486913
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]});strch1;C66H112O56;30.8681788841116
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Iodid;i;I;0.0014228025222437
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch);starch1200;C7200H12002O6001;0.285789958468973
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Vitamin K1 (phyQ);;C29H50O2;0.0008
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Celluose (n=500 repeating units, beta-1,4 glc);cell500;C3000H5002O2501;0.1326
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Co2+;cobalt2;Co;
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Molybdate;mobd;MoO4;
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Ni2+;ni2;Ni;
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Superoxide;o2s;O2;
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Alanine;ala__L;C3H7NO2;86.3692851979725
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Arginine;arg__L;C6H15N4O2;46.6414662725467
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Aspartate;asp__L;C4H6NO4;101.067741552083
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Ca2+;ca2;Ca;53.0445631019512
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Cl-;cl;Cl;617.961131639071
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Cu2+;cu2;Cu;0.0329839801088975
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Cysteine;cys__L;C3H7NO2S;16.9723551521895
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Fe2+;fe2;Fe;0.170006267347121
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Fe3+;fe3;Fe;0.170006267347121
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Folate;fol;C19H17N7O6;0.0001368606653882
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;D-Glucose;glc__D;C6H12O6;119.070987960983
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Glutamate;glu__L;C5H8NO4;220.123986030784
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Glycine;gly;C2H5NO2;84.4573485411621
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;H2O;h2o;H2O;152721.301028904
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Histidine;his__L;C6H9N3O2;30.9611896779084
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Isoleucine;ile__L;C6H13NO2;61.087762792467
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;K+;k;K;89.0537184481167
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Leucine;leu__L;C6H13NO2;101.960298201839
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Lysine;lys__L;C6H15N2O2;79.1294502889015
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Methionine;met__L;C5H11NO2S;26.318221207107
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Mg;mg2;Mg;17.1751491462662
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Mn2+;mn2;Mn;0.05602674794853
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Na+;na1;Na;309.750824954777
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Isonicotinic acid;nac;C6H4NO2;0.455874825452595
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Phenylalanine;phe__L;C9H11NO2;44.7696912205466
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Phosphate;pi;HO4P;28.4778176127561
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;PAN;pnto__R;C9H15NO5;0.0293318425309425
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Proline;pro__L;C5H9NO2;106.996408423485
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Pyridoxal;pydx;C8H9NO3;0.0040220464778677
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Riboflavin;ribflv;C17H19N4O6;0.0063156960590534
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Serine;ser__L;C3H7NO3;77.4233866133296
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Thiamin;thm;C12H17N4OS;6.20678895334771
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Threonine;thr__L;C4H9NO3;56.7826429324576
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Tryptophan;trp__L;C11H12N2O2;9.95091203240344
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Tyrosine;tyr__L;C9H11NO3;35.5928991078352
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Valine;val__L;C5H11NO2;80.96521187609
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Zn2+;zn2;Zn;0.335041297032732
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Ethanol;etoh;C2H6O;294.344930581483
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Beta-Carotene;caro;C40H56;0.0028945414610468
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;All-trans-Retinol;retinol;C20H30O;4.88738760753998
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Nicotinamide;ncam;C6H6N2O;0.243513591856186
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Pyridoxamine;pydam;C8H13N2O2;0.003973577776333
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Pyridoxine;pydxn;C8H11NO3;0.0039741226882802
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Biotin;btn;C10H15N2O3S;0.0002697997186221
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;10-Formyltetrahydrofolate;10fthf;C20H21N7O7;0.0001278510994575
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;5-Methyltetrahydrofolate;5mthf;C20H24N7O6;0.0001314696828145
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;5,6,7,8-Tetrahydrofolate;thf;C19H21N7O6;0.0001359273616736
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;L-Ascorbate;ascb__L;C6H7O6;0.745870456302729
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Calciol (Vitamin D3);vitd3;C27H44O;1.70550104682e-05
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Alpha-Tocopherol;avite1;C29H50O2;0.053170828089038
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;D-Mannitol;mnl;C6H14O6;0.133489376511623
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Lactose;lcts;C12H22O11;43.0709633314977
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Maltose;malt;C12H22O11;15.7465822758924
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Sucrose;sucr;C12H22O11;223.627761312196
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;D-Fructose;fru;C6H12O6;92.4313497365337
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;D-Galactose;gal;C6H12O6;0.330269505467209
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Urate;urate;C5H4N4O3;3.84519568402412
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Decanoate (n-C10:0);dca;C10H19O2;16.85243847394
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Dodecanoate (n-C12:0);ddca;C12H23O2;20.4617735806267
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Tetradecanoate (n-C14:0);ttdca;C14H27O2;57.2996793673553
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Tetradecenoate (n-C14:1);ttdcea;C14H25O2;7.45989187346986
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Pentadecanoate;ptdca;C15H30O2;5.58183534004779
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Hexadecanoate (n-C16:0);hdca;C16H31O2;183.109036587748
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Heptadecanoate C170 ;hpdca;C17H33O2;4.16889008312342
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Octadecanoate (n-C18:0);ocdca;C18H35O2;71.3769321757241
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Octadecenoate (n-C18:1);ocdcea;C18H33O2;219.927835300622
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Linoleic acid (all cis C18:2) n-6;lnlc;C18H31O2;82.6052337284724
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Alpha-Linolenic acid, C18:3, n-3;lnlnca;C18H29O2;7.90853779643049
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Arachidic acid;arach;C20H39O2;2.0568755065846
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;11-cis-eicosenoate;CE2510;C20H37O2;3.91086652110165
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Cis,cis-11,14-eicosadienoyl-CoA;CE4843;C41H66N7O17P3S;0.308903651394985
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Arachidonic acid;arachd;C20H31O2;1.03396868570999
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Docosanoate;docosac;C22H43O2;0.876841563410328
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;3(Z)-13-docosenoic acid;doco13ac;C22H41O2;2.21548662355133
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Clupanodonic acid;clpnd;C22H33O2;0.746897839792993
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Cervonic acid, C22:6 n-3;crvnc;C22H31O2;1.41810056971366
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Butyrate (n-C4:0);but;C4H7O2;44.4032069917288
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Octanoate (n-C8:0);octa;C8H15O2;10.2894621988988
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Chsterol c;chsterol;C27H46O;2.76352341308174
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;D-Sorbitol;sbt__D;C6H14O6;1.561163692734
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Lignoceric acid;lgnc;C24H47O2;0.354020142056335
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Hexadecenoate (n-C16:1);hdcea;C16H29O2;21.7898242425127
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]});strch1;C66H112O56;40.1169951473774
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Iodid;i;I;0.0026445719366701
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch);starch1200;C7200H12002O6001;0.371419202283106
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Vitamin K1 (phyQ);;C29H50O2;0.0003
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Celluose (n=500 repeating units, beta-1,4 glc);cell500;C3000H5002O2501;0.0335
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Stearidonic acid C18:4, n-3;strdnc;C18H27O2;0.0856917319824056
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Co2+;cobalt2;Co;
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Molybdate;mobd;MoO4;
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Ni2+;ni2;Ni;
VMH-unhealthy;extracted from VMH (virtual metabolic human database) - unhealthy diet;Superoxide;o2s;O2;
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;L-Alanine;ala__L;C3H7NO2;84.4704197402271
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;L-Arginine;arg__L;C6H15N4O2;44.9699758402684
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;L-Aspartate;asp__L;C4H6NO4;99.8389034533558
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Ca2+;ca2;Ca;40.260492040521
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Cl-;cl;Cl;734.57535328463
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Cu2+;cu2;Cu;0.0198753658766878
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;L-Cysteine;cys__L;C3H7NO2S;12.4294517416073
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Fe2+;fe2;Fe;0.220189811084251
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Fe3+;fe3;Fe;0.220189811084251
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Folate;fol;C19H17N7O6;0.0001193205105934
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;D-Glucose;glc__D;C6H12O6;34.7673875793133
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;L-Glutamate;glu__L;C5H8NO4;171.793024014979
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Glycine;gly;C2H5NO2;79.2141911316085
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;H2O;h2o;H2O;158601.920147786
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;L-Histidine;his__L;C6H9N3O2;25.7788683029701
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;L-Isoleucine;ile__L;C6H13NO2;56.423925978613
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;K+;k;K;56.5929976495142
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;L-Leucine;leu__L;C6H13NO2;92.1572977345168
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;L-Lysine;lys__L;C6H15N2O2;79.5959115597963
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;L-Methionine;met__L;C5H11NO2S;26.0365669356141
